t,x,y,vx,vy,pitch,roll,engine_out
320.20,6404.00,22.37,20.00,0.24,-0.0145,0.0564,0
320.40,6408.00,22.54,20.00,0.04,-0.0205,0.0380,0
320.60,6412.00,22.66,20.00,-0.16,-0.0203,0.0459,0
320.80,6416.00,22.72,20.00,-0.36,-0.0258,0.0492,0
321.00,6420.00,22.73,20.00,-0.55,-0.0215,0.0510,0
321.20,6424.00,22.68,20.00,-0.74,-0.0257,0.0471,0
321.40,6428.00,22.58,20.00,-0.92,-0.0285,0.0322,0
321.60,6432.00,22.43,20.00,-1.09,-0.0329,0.0476,0
321.80,6436.00,22.23,20.00,-1.26,-0.0334,0.0353,0
322.00,6440.00,21.98,20.00,-1.40,-0.0330,0.0379,0
322.20,6444.00,21.68,20.00,-1.54,-0.0271,0.0315,0
322.40,6448.00,21.35,20.00,-1.66,-0.0252,0.0403,0
322.60,6452.00,20.97,20.00,-1.76,-0.0278,0.0310,0
322.80,6456.00,20.55,20.00,-1.85,-0.0283,0.0354,0
323.00,6460.00,20.11,20.00,-1.92,-0.0271,0.0189,0
323.20,6464.00,19.63,20.00,-1.96,-0.0221,0.0241,0
323.40,6468.00,19.13,20.00,-1.99,-0.0211,0.0148,0
323.60,6472.00,18.62,20.00,-2.00,-0.0193,0.0203,0
323.80,6476.00,18.09,20.00,-1.99,-0.0185,0.0202,0
324.00,6480.00,17.54,20.00,-1.96,-0.0084,0.0017,0
324.20,6484.00,17.00,20.00,-1.91,-0.0036,0.0090,0
324.40,6488.00,16.46,20.00,-1.84,-0.0088,0.0039,0
324.60,6492.00,15.92,20.00,-1.75,-0.0018,0.0010,0
324.80,6496.00,15.39,20.00,-1.64,0.0047,-0.0117,0
325.00,6500.00,14.87,20.00,-1.52,0.0074,-0.0064,0
325.20,6504.00,14.38,20.00,-1.38,0.0122,-0.0174,0
325.40,6508.00,13.91,20.00,-1.23,0.0173,-0.0070,0
325.60,6512.00,13.46,20.00,-1.07,0.0128,-0.0092,0
325.80,6516.00,13.05,20.00,-0.89,0.0147,-0.0262,0
326.00,6520.00,12.67,20.00,-0.71,0.0234,-0.0249,0
326.20,6524.00,12.33,20.00,-0.52,0.0281,-0.0166,0
326.40,6528.00,12.03,20.00,-0.32,0.0235,-0.0306,0
326.60,6532.00,11.77,20.00,-0.13,0.0307,-0.0197,0
326.80,6536.00,11.56,20.00,0.07,0.0331,-0.0211,0
327.00,6540.00,11.39,20.00,0.27,0.0293,-0.0231,0
327.20,6544.00,11.27,20.00,0.47,0.0313,-0.0318,0
327.40,6548.00,11.20,20.00,0.66,0.0257,-0.0387,0
327.60,6552.00,11.17,20.00,0.85,0.0271,-0.0295,0
327.80,6556.00,11.19,20.00,1.02,0.0249,-0.0452,0
328.00,6560.00,11.26,20.00,1.19,0.0233,-0.0479,0
328.20,6564.00,11.38,20.00,1.34,0.0290,-0.0419,0
328.40,6568.00,11.53,20.00,1.49,0.0273,-0.0518,0
328.60,6572.00,11.73,20.00,1.61,0.0218,-0.0493,0
328.80,6576.00,11.97,20.00,1.72,0.0221,-0.0546,0
329.00,6580.00,12.25,20.00,1.81,0.0103,-0.0406,0
329.20,6584.00,12.56,20.00,1.89,0.0106,-0.0448,0
329.40,6588.00,12.90,20.00,1.95,0.0123,-0.0539,0
329.60,6592.00,13.27,20.00,1.98,0.0003,-0.0508,0
329.80,6596.00,13.66,20.00,2.00,0.0045,-0.0455,0
330.00,6600.00,14.07,20.00,2.00,-0.0061,-0.0534,0
330.20,6604.00,14.50,20.00,1.97,-0.0105,-0.0429,0
330.40,6608.00,14.93,20.00,1.93,-0.0124,-0.0539,0
330.60,6612.00,15.38,20.00,1.87,-0.0081,-0.0525,0
330.80,6616.00,15.82,20.00,1.79,-0.0127,-0.0423,0
331.00,6620.00,16.27,20.00,1.69,-0.0195,-0.0437,0
331.20,6624.00,16.71,20.00,1.57,-0.0222,-0.0425,0
331.40,6628.00,17.14,20.00,1.44,-0.0278,-0.0368,0
331.60,6632.00,17.55,20.00,1.30,-0.0250,-0.0402,0
331.80,6636.00,17.95,20.00,1.14,-0.0312,-0.0412,0
332.00,6640.00,18.33,20.00,0.97,-0.0309,-0.0391,0
332.20,6644.00,18.68,20.00,0.79,-0.0337,-0.0466,0
332.40,6648.00,19.01,20.00,0.60,-0.0320,-0.0414,0
332.60,6652.00,19.31,20.00,0.41,-0.0309,-0.0299,0
332.80,6656.00,19.57,20.00,0.21,-0.0333,-0.0292,0
333.00,6660.00,19.81,20.00,0.01,-0.0270,-0.0261,0
333.20,6664.00,20.00,20.00,-0.19,-0.0273,-0.0176,0
333.40,6668.00,20.16,20.00,-0.39,-0.0212,-0.0324,0
333.60,6672.00,20.28,20.00,-0.58,-0.0232,-0.0131,0
333.80,6676.00,20.37,20.00,-0.77,-0.0190,-0.0166,0
334.00,6680.00,20.41,20.00,-0.95,-0.0209,-0.0242,0
334.20,6684.00,20.42,20.00,-1.12,-0.0126,-0.0073,0
334.40,6688.00,20.39,20.00,-1.28,-0.0163,-0.0172,0
334.60,6692.00,20.32,20.00,-1.43,-0.0056,-0.0151,0
334.80,6696.00,20.22,20.00,-1.56,-0.0071,-0.0107,0
335.00,6700.00,20.08,20.00,-1.68,-0.0018,0.0001,0
335.20,6704.00,19.92,20.00,-1.78,0.0017,0.0075,0
335.40,6708.00,19.72,20.00,-1.86,0.0031,-0.0047,0
335.60,6712.00,19.50,20.00,-1.92,0.0066,0.0027,0
335.80,6716.00,19.25,20.00,-1.97,0.0136,0.0032,0
336.00,6720.00,18.99,20.00,-1.99,0.0124,0.0088,0
336.20,6724.00,18.70,20.00,-2.00,0.0198,0.0102,0
336.40,6728.00,18.40,20.00,-1.98,0.0183,0.0211,0
336.60,6732.00,18.09,20.00,-1.95,0.0230,0.0304,0
336.80,6736.00,17.78,20.00,-1.90,0.0247,0.0245,0
337.00,6740.00,17.45,20.00,-1.82,0.0235,0.0188,0
337.20,6744.00,17.13,20.00,-1.73,0.0329,0.0273,0
337.40,6748.00,16.81,20.00,-1.62,0.0333,0.0414,0
337.60,6752.00,16.50,20.00,-1.50,0.0265,0.0338,0
337.80,6756.00,16.19,20.00,-1.36,0.0317,0.0288,0
338.00,6760.00,15.90,20.00,-1.20,0.0251,0.0435,0
338.20,6764.00,15.62,20.00,-1.04,0.0337,0.0468,0
338.40,6768.00,15.36,20.00,-0.86,0.0305,0.0420,0
338.60,6772.00,15.11,20.00,-0.68,0.0296,0.0378,0
338.80,6776.00,14.90,20.00,-0.49,0.0265,0.0515,0
339.00,6780.00,14.70,20.00,-0.29,0.0231,0.0547,0
339.20,6784.00,14.53,20.00,-0.09,0.0214,0.0477,0
339.40,6788.00,14.39,20.00,0.11,0.0155,0.0399,0
339.60,6792.00,14.27,20.00,0.31,0.0142,0.0493,0
339.80,6796.00,14.19,20.00,0.50,0.0112,0.0564,0
340.00,6800.00,14.13,20.00,0.69,0.0076,0.0475,0
340.20,6804.00,14.10,20.00,0.88,0.0040,0.0579,0
340.40,6808.00,14.10,20.00,1.05,-0.0039,0.0433,0
340.60,6812.00,14.13,20.00,1.22,-0.0066,0.0596,0
340.80,6816.00,14.18,20.00,1.37,-0.0125,0.0480,0
341.00,6820.00,14.26,20.00,1.51,-0.0098,0.0586,0
341.20,6824.00,14.37,20.00,1.63,-0.0189,0.0511,0
341.40,6828.00,14.49,20.00,1.74,-0.0170,0.0545,0
341.60,6832.00,14.64,20.00,1.83,-0.0173,0.0519,0
341.80,6836.00,14.81,20.00,1.90,-0.0262,0.0492,0
342.00,6840.00,14.99,20.00,1.95,-0.0254,0.0373,0
342.20,6844.00,15.19,20.00,1.99,-0.0305,0.0346,0
342.40,6848.00,15.39,20.00,2.00,-0.0261,0.0342,0
342.60,6852.00,15.61,20.00,1.99,-0.0319,0.0319,0
342.80,6856.00,15.83,20.00,1.97,-0.0320,0.0372,0
343.00,6860.00,16.05,20.00,1.92,-0.0304,0.0446,0
343.20,6864.00,16.27,20.00,1.85,-0.0315,0.0272,0
343.40,6868.00,16.49,20.00,1.77,-0.0242,0.0206,0
343.60,6872.00,16.70,20.00,1.67,-0.0302,0.0253,0
343.80,6876.00,16.90,20.00,1.55,-0.0220,0.0274,0
344.00,6880.00,17.10,20.00,1.42,-0.0244,0.0316,0
344.20,6884.00,17.27,20.00,1.27,-0.0258,0.0161,0
344.40,6888.00,17.44,20.00,1.11,-0.0230,0.0265,0
344.60,6892.00,17.58,20.00,0.94,-0.0174,0.0140,0
344.80,6896.00,17.71,20.00,0.76,-0.0133,0.0078,0
345.00,6900.00,17.82,20.00,0.57,-0.0113,-0.0006,0
345.20,6904.00,17.90,20.00,0.37,-0.0091,0.0125,0
345.40,6908.00,17.96,20.00,0.17,-0.0046,-0.0069,0
345.60,6912.00,18.00,20.00,-0.02,0.0006,0.0024,0
345.80,6916.00,18.01,20.00,-0.22,0.0039,-0.0006,0
346.00,6920.00,18.00,20.00,-0.42,0.0047,0.0024,0
346.20,6924.00,17.96,20.00,-0.61,0.0155,-0.0116,0
346.40,6928.00,17.91,20.00,-0.80,0.0190,-0.0048,0
346.60,6932.00,17.82,20.00,-0.98,0.0134,-0.0099,0
346.80,6936.00,17.72,20.00,-1.15,0.0191,-0.0262,0
347.00,6940.00,17.60,20.00,-1.31,0.0201,-0.0281,0
347.20,6944.00,17.46,20.00,-1.45,0.0206,-0.0183,0
347.40,6948.00,17.30,20.00,-1.58,0.0254,-0.0164,0
347.60,6952.00,17.13,20.00,-1.70,0.0296,-0.0212,0
347.80,6956.00,16.95,20.00,-1.79,0.0246,-0.0370,0
348.00,6960.00,16.75,20.00,-1.87,0.0284,-0.0307,0
348.20,6964.00,16.55,20.00,-1.93,0.0271,-0.0263,0
348.40,6968.00,16.35,20.00,-1.97,0.0298,-0.0351,0
348.60,6972.00,16.14,20.00,-2.00,0.0261,-0.0378,0
348.80,6976.00,15.93,20.00,-2.00,0.0279,-0.0371,0
349.00,6980.00,15.73,20.00,-1.98,0.0238,-0.0485,0
349.20,6984.00,15.53,20.00,-1.94,0.0201,-0.0391,0
349.40,6988.00,15.34,20.00,-1.88,0.0227,-0.0522,0
349.60,6992.00,15.17,20.00,-1.81,0.0209,-0.0504,0
349.80,6996.00,15.00,20.00,-1.71,0.0139,-0.0466,0
350.00,7000.00,14.86,20.00,-1.60,0.0137,-0.0468,0
350.20,7004.00,14.73,20.00,-1.47,0.0109,-0.0554,0
350.40,7008.00,14.62,20.00,-1.33,0.0078,-0.0403,0
350.60,7012.00,14.53,20.00,-1.18,0.0013,-0.0501,0
350.80,7016.00,14.47,20.00,-1.01,-0.0014,-0.0432,0
351.00,7020.00,14.44,20.00,-0.83,-0.0059,-0.0405,0
351.20,7024.00,14.43,20.00,-0.65,-0.0119,-0.0520,0
351.40,7028.00,14.44,20.00,-0.45,-0.0058,-0.0489,0
351.60,7032.00,14.48,20.00,-0.26,-0.0124,-0.0430,0
351.80,7036.00,14.55,20.00,-0.06,-0.0195,-0.0495,0
352.00,7040.00,14.65,20.00,0.14,-0.0214,-0.0390,0
352.20,7044.00,14.77,20.00,0.34,-0.0262,-0.0524,0
352.40,7048.00,14.92,20.00,0.54,-0.0263,-0.0443,0
352.60,7052.00,15.09,20.00,0.72,-0.0290,-0.0363,0
352.80,7056.00,15.29,20.00,0.91,-0.0285,-0.0330,0
353.00,7060.00,15.50,20.00,1.08,-0.0306,-0.0457,0
353.20,7064.00,15.74,20.00,1.24,-0.0248,-0.0461,0
353.40,7068.00,15.99,20.00,1.39,-0.0347,-0.0398,0
353.60,7072.00,16.25,20.00,1.53,-0.0302,-0.0336,0
353.80,7076.00,16.53,20.00,1.65,-0.0260,-0.0227,0
354.00,7080.00,16.81,20.00,1.76,-0.0283,-0.0209,0
354.20,7084.00,17.11,20.00,1.84,-0.0253,-0.0247,0
354.40,7088.00,17.40,20.00,1.91,-0.0213,-0.0270,0
354.60,7092.00,17.69,20.00,1.96,-0.0196,-0.0307,0
354.80,7096.00,17.98,20.00,1.99,-0.0202,-0.0161,0
355.00,7100.00,18.26,20.00,2.00,-0.0159,-0.0247,0
355.20,7104.00,18.53,20.00,1.99,-0.0116,-0.0107,0
355.40,7108.00,18.78,20.00,1.96,-0.0135,-0.0069,0
355.60,7112.00,19.02,20.00,1.91,-0.0037,-0.0038,0
355.80,7116.00,19.24,20.00,1.84,-0.0048,-0.0028,0
356.00,7120.00,19.44,20.00,1.76,0.0013,-0.0006,0
356.20,7124.00,19.61,20.00,1.65,0.0064,0.0098,0
356.40,7128.00,19.76,20.00,1.53,0.0085,-0.0033,0
356.60,7132.00,19.87,20.00,1.39,0.0066,0.0061,0
356.80,7136.00,19.96,20.00,1.24,0.0167,0.0032,0
357.00,7140.00,20.01,20.00,1.08,0.0124,0.0212,0
357.20,7144.00,20.02,20.00,0.91,0.0162,0.0223,0
357.40,7148.00,20.00,20.00,0.72,0.0169,0.0255,0
357.60,7152.00,19.95,20.00,0.53,0.0243,0.0131,0
357.80,7156.00,19.86,20.00,0.34,0.0234,0.0179,0
358.00,7160.00,19.73,20.00,0.14,0.0242,0.0270,0
358.20,7164.00,19.57,20.00,-0.06,0.0249,0.0363,0
358.40,7168.00,19.38,20.00,-0.26,0.0262,0.0289,0
358.60,7172.00,19.15,20.00,-0.45,0.0331,0.0277,0
358.80,7176.00,18.89,20.00,-0.65,0.0265,0.0391,0
359.00,7180.00,18.61,20.00,-0.83,0.0301,0.0299,0
359.20,7184.00,18.29,20.00,-1.01,0.0259,0.0471,0
359.40,7188.00,17.95,20.00,-1.18,0.0298,0.0379,0
359.60,7192.00,17.59,20.00,-1.33,0.0295,0.0376,0
359.80,7196.00,17.21,20.00,-1.47,0.0234,0.0402,0
360.00,7200.00,16.82,20.00,-1.60,0.0228,0.0551,0
360.20,7204.00,16.42,20.00,-1.71,0.0145,0.0415,0
360.40,7208.00,16.01,20.00,-1.81,0.0169,0.0545,0
360.60,7212.00,15.59,20.00,-1.88,0.0076,0.0557,0
360.80,7216.00,15.17,20.00,-1.94,0.0127,0.0578,0
361.00,7220.00,14.76,20.00,-1.98,0.0056,0.0432,0
361.20,7224.00,14.36,20.00,-2.00,-0.0030,0.0505,0
361.40,7228.00,13.97,20.00,-2.00,0.0010,0.0445,0
361.60,7232.00,13.60,20.00,-1.97,-0.0084,0.0422,0
361.80,7236.00,13.24,20.00,-1.93,-0.0054,0.0561,0
362.00,7240.00,12.91,20.00,-1.87,-0.0143,0.0539,0
362.20,7244.00,12.61,20.00,-1.79,-0.0142,0.0442,0
362.40,7248.00,12.34,20.00,-1.70,-0.0178,0.0423,0
362.60,7252.00,12.10,20.00,-1.58,-0.0173,0.0521,0
362.80,7256.00,11.90,20.00,-1.45,-0.0258,0.0536,0
363.00,7260.00,11.73,20.00,-1.31,-0.0293,0.0531,0
363.20,7264.00,11.61,20.00,-1.15,-0.0310,0.0476,0
363.40,7268.00,11.53,20.00,-0.98,-0.0315,0.0304,0
363.60,7272.00,11.49,20.00,-0.80,-0.0339,0.0371,0
363.80,7276.00,11.50,20.00,-0.61,-0.0276,0.0438,0
364.00,7280.00,11.56,20.00,-0.42,-0.0263,0.0422,0
364.20,7284.00,11.66,20.00,-0.22,-0.0323,0.0274,0
364.40,7288.00,11.80,20.00,-0.02,-0.0244,0.0347,0
364.60,7292.00,11.99,20.00,0.18,-0.0236,0.0329,0
364.80,7296.00,12.22,20.00,0.37,-0.0268,0.0214,0
365.00,7300.00,12.50,20.00,0.57,-0.0263,0.0295,0
365.20,7304.00,12.81,20.00,0.76,-0.0224,0.0282,0
365.40,7308.00,13.16,20.00,0.94,-0.0186,0.0235,0
365.60,7312.00,13.55,20.00,1.11,-0.0192,0.0178,0
365.80,7316.00,13.96,20.00,1.27,-0.0154,0.0118,0
366.00,7320.00,14.41,20.00,1.42,-0.0081,0.0135,0
366.20,7324.00,14.87,20.00,1.55,-0.0046,0.0138,0
366.40,7328.00,15.36,20.00,1.67,-0.0003,0.0011,0
366.60,7332.00,15.87,20.00,1.77,0.0027,0.0046,0
366.80,7336.00,16.38,20.00,1.85,0.0069,-0.0037,0
367.00,7340.00,16.90,20.00,1.92,0.0121,-0.0163,0
367.20,7344.00,17.43,20.00,1.97,0.0100,-0.0026,0
367.40,7348.00,17.95,20.00,1.99,0.0140,-0.0198,0
367.60,7352.00,18.46,20.00,2.00,0.0211,-0.0235,0
367.80,7356.00,18.96,20.00,1.99,0.0219,-0.0171,0
368.00,7360.00,19.45,20.00,1.95,0.0229,-0.0122,0
368.20,7364.00,19.91,20.00,1.90,0.0264,-0.0279,0
368.40,7368.00,20.35,20.00,1.83,0.0309,-0.0257,0
368.60,7372.00,20.76,20.00,1.74,0.0295,-0.0342,0
368.80,7376.00,21.13,20.00,1.63,0.0262,-0.0322,0
369.00,7380.00,21.47,20.00,1.51,0.0339,-0.0337,0
369.20,7384.00,21.77,20.00,1.37,0.0350,-0.0292,0
369.40,7388.00,22.02,20.00,1.22,0.0296,-0.0296,0
369.60,7392.00,22.23,20.00,1.05,0.0306,-0.0441,0
369.80,7396.00,22.38,20.00,0.88,0.0311,-0.0509,0
370.00,7400.00,22.49,20.00,0.69,0.0306,-0.0474,0
370.20,7404.00,22.55,20.00,0.50,0.0273,-0.0448,0
370.40,7408.00,22.55,20.00,0.31,0.0248,-0.0535,0
370.60,7412.00,22.50,20.00,0.11,0.0145,-0.0531,0
370.80,7416.00,22.40,20.00,-0.09,0.0137,-0.0456,0
371.00,7420.00,22.25,20.00,-0.29,0.0165,-0.0558,0
371.20,7424.00,22.04,20.00,-0.49,0.0068,-0.0545,0
371.40,7428.00,21.79,20.00,-0.68,0.0085,-0.0478,0
371.60,7432.00,21.49,20.00,-0.86,-0.0014,-0.0579,0
371.80,7436.00,21.14,20.00,-1.04,0.0025,-0.0480,0
372.00,7440.00,20.75,20.00,-1.20,-0.0019,-0.0432,0
372.20,7444.00,20.32,20.00,-1.36,-0.0089,-0.0461,0
372.40,7448.00,19.85,20.00,-1.50,-0.0091,-0.0574,0
372.60,7452.00,19.36,20.00,-1.62,-0.0125,-0.0392,0
372.80,7456.00,18.83,20.00,-1.73,-0.0137,-0.0553,0
373.00,7460.00,18.29,20.00,-1.82,-0.0232,-0.0451,0
373.20,7464.00,17.72,20.00,-1.90,-0.0201,-0.0495,0
373.40,7468.00,17.15,20.00,-1.95,-0.0271,-0.0483,0
373.60,7472.00,16.56,20.00,-1.98,-0.0268,-0.0382,0
373.80,7476.00,15.97,20.00,-2.00,-0.0252,-0.0337,0
374.00,7480.00,15.39,20.00,-1.99,-0.0275,-0.0481,0
374.20,7484.00,14.81,20.00,-1.97,-0.0252,-0.0324,0
374.40,7488.00,14.24,20.00,-1.92,-0.0347,-0.0256,0
374.60,7492.00,13.69,20.00,-1.86,-0.0290,-0.0413,0
374.80,7496.00,13.17,20.00,-1.78,-0.0337,-0.0291,0
375.00,7500.00,12.67,20.00,-1.68,-0.0242,-0.0196,0
375.20,7504.00,12.20,20.00,-1.56,-0.0245,-0.0173,0
375.40,7508.00,11.77,20.00,-1.43,-0.0282,-0.0328,0
375.60,7512.00,11.38,20.00,-1.28,-0.0217,-0.0286,0
375.80,7516.00,11.03,20.00,-1.12,-0.0210,-0.0150,0
376.00,7520.00,10.73,20.00,-0.95,-0.0178,-0.0210,0
376.20,7524.00,10.48,20.00,-0.77,-0.0093,-0.0115,0
376.40,7528.00,10.28,20.00,-0.58,-0.0063,-0.0100,0
376.60,7532.00,10.13,20.00,-0.39,-0.0028,-0.0082,0
376.80,7536.00,10.04,20.00,-0.19,0.0012,0.0053,0
377.00,7540.00,10.00,20.00,0.01,0.0007,-0.0097,0
377.20,7544.00,10.02,20.00,0.21,-0.0000,-0.0031,0
377.40,7548.00,10.09,20.00,0.41,0.0122,0.0063,0
377.60,7552.00,10.22,20.00,0.60,0.0068,0.0152,0
377.80,7556.00,10.41,20.00,0.79,0.0173,0.0190,0
378.00,7560.00,10.64,20.00,0.97,0.0127,0.0065,0
378.20,7564.00,10.93,20.00,1.14,0.0179,0.0149,0
378.40,7568.00,11.26,20.00,1.30,0.0256,0.0160,0
378.60,7572.00,11.64,20.00,1.44,0.0292,0.0307,0
378.80,7576.00,12.06,20.00,1.57,0.0261,0.0279,0
379.00,7580.00,12.52,20.00,1.69,0.0256,0.0373,0
379.20,7584.00,13.01,20.00,1.79,0.0328,0.0211,0
379.40,7588.00,13.53,20.00,1.87,0.0328,0.0335,0
379.60,7592.00,14.08,20.00,1.93,0.0293,0.0446,0
379.80,7596.00,14.65,20.00,1.97,0.0339,0.0364,0
380.00,7600.00,15.23,20.00,2.00,0.0271,0.0424,0
380.20,7604.00,15.82,20.00,2.00,0.0302,0.0405,0
380.40,7608.00,16.41,20.00,1.98,0.0294,0.0464,0
380.60,7612.00,17.01,20.00,1.95,0.0234,0.0472,0
380.80,7616.00,17.60,20.00,1.89,0.0226,0.0504,0
381.00,7620.00,18.17,20.00,1.81,0.0208,0.0384,0
381.20,7624.00,18.74,20.00,1.72,0.0150,0.0546,0
381.40,7628.00,19.28,20.00,1.61,0.0122,0.0467,0
381.60,7632.00,19.79,20.00,1.49,0.0118,0.0497,0
381.80,7636.00,20.28,20.00,1.34,0.0094,0.0424,0
382.00,7640.00,20.73,20.00,1.19,0.0021,0.0522,0
382.20,7644.00,21.14,20.00,1.02,0.0036,0.0589,0
382.40,7648.00,21.51,20.00,0.85,0.0016,0.0508,0
382.60,7652.00,21.84,20.00,0.66,-0.0087,0.0500,0
382.80,7656.00,22.11,20.00,0.47,-0.0102,0.0591,0
383.00,7660.00,22.34,20.00,0.27,-0.0137,0.0391,0
383.20,7664.00,22.52,20.00,0.07,-0.0206,0.0511,0
383.40,7668.00,22.64,20.00,-0.13,-0.0224,0.0500,0
383.60,7672.00,22.71,20.00,-0.32,-0.0222,0.0463,0
383.80,7676.00,22.73,20.00,-0.52,-0.0254,0.0497,0
384.00,7680.00,22.69,20.00,-0.71,-0.0224,0.0484,0
384.20,7684.00,22.60,20.00,-0.89,-0.0293,0.0499,0
384.40,7688.00,22.46,20.00,-1.07,-0.0300,0.0398,0
384.60,7692.00,22.27,20.00,-1.23,-0.0315,0.0387,0
384.80,7696.00,22.02,20.00,-1.38,-0.0310,0.0326,0
385.00,7700.00,21.73,20.00,-1.52,-0.0325,0.0289,0
385.20,7704.00,21.40,20.00,-1.64,-0.0303,0.0376,0
385.40,7708.00,21.03,20.00,-1.75,-0.0329,0.0337,0
385.60,7712.00,20.62,20.00,-1.84,-0.0306,0.0355,0
385.80,7716.00,20.18,20.00,-1.91,-0.0221,0.0207,0
386.00,7720.00,19.71,20.00,-1.96,-0.0192,0.0297,0
386.20,7724.00,19.21,20.00,-1.99,-0.0175,0.0234,0
386.40,7728.00,18.70,20.00,-2.00,-0.0179,0.0189,0
386.60,7732.00,18.17,20.00,-1.99,-0.0119,0.0129,0
386.80,7736.00,17.63,20.00,-1.96,-0.0077,0.0176,0
387.00,7740.00,17.09,20.00,-1.92,-0.0082,0.0101,0
387.20,7744.00,16.54,20.00,-1.85,-0.0013,0.0104,0
387.40,7748.00,16.00,20.00,-1.76,-0.0017,0.0004,0
387.60,7752.00,15.47,20.00,-1.66,0.0054,-0.0053,0
387.80,7756.00,14.95,20.00,-1.54,0.0063,0.0005,0
388.00,7760.00,14.46,20.00,-1.40,0.0106,0.0020,0
388.20,7764.00,13.98,20.00,-1.26,0.0170,-0.0033,0
388.40,7768.00,13.53,20.00,-1.09,0.0176,-0.0074,0
388.60,7772.00,13.11,20.00,-0.92,0.0180,-0.0080,0
388.80,7776.00,12.73,20.00,-0.74,0.0203,-0.0116,0
389.00,7780.00,12.38,20.00,-0.55,0.0192,-0.0203,0
389.20,7784.00,12.07,20.00,-0.36,0.0280,-0.0317,0
389.40,7788.00,11.81,20.00,-0.16,0.0277,-0.0366,0
389.60,7792.00,11.59,20.00,0.04,0.0284,-0.0206,0
389.80,7796.00,11.41,20.00,0.24,0.0316,-0.0339,0
390.00,7800.00,11.29,20.00,0.44,0.0280,-0.0279,0
390.20,7804.00,11.21,20.00,0.63,0.0314,-0.0336,0
390.40,7808.00,11.17,20.00,0.82,0.0304,-0.0477,0
390.60,7812.00,11.19,20.00,1.00,0.0269,-0.0358,0
390.80,7816.00,11.25,20.00,1.16,0.0230,-0.0398,0
391.00,7820.00,11.36,20.00,1.32,0.0302,-0.0444,0
391.20,7824.00,11.51,20.00,1.46,0.0239,-0.0431,0
391.40,7828.00,11.70,20.00,1.59,0.0197,-0.0430,0
391.60,7832.00,11.93,20.00,1.71,0.0148,-0.0571,0
391.80,7836.00,12.20,20.00,1.80,0.0190,-0.0477,0
392.00,7840.00,12.51,20.00,1.88,0.0080,-0.0478,0
392.20,7844.00,12.85,20.00,1.94,0.0040,-0.0564,0
392.40,7848.00,13.21,20.00,1.98,0.0097,-0.0455,0
392.60,7852.00,13.60,20.00,2.00,-0.0010,-0.0426,0
392.80,7856.00,14.00,20.00,2.00,0.0012,-0.0463,0
393.00,7860.00,14.43,20.00,1.98,-0.0087,-0.0496,0
393.20,7864.00,14.86,20.00,1.94,-0.0131,-0.0436,0
393.40,7868.00,15.31,20.00,1.88,-0.0119,-0.0428,0
393.60,7872.00,15.75,20.00,1.80,-0.0159,-0.0489,0
393.80,7876.00,16.20,20.00,1.70,-0.0152,-0.0400,0
394.00,7880.00,16.64,20.00,1.59,-0.0251,-0.0472,0
394.20,7884.00,17.07,20.00,1.46,-0.0263,-0.0455,0
394.40,7888.00,17.49,20.00,1.32,-0.0234,-0.0494,0
394.60,7892.00,17.89,20.00,1.16,-0.0291,-0.0355,0
394.80,7896.00,18.27,20.00,0.99,-0.0282,-0.0442,0
395.00,7900.00,18.63,20.00,0.82,-0.0253,-0.0342,0
395.20,7904.00,18.96,20.00,0.63,-0.0292,-0.0433,0
395.40,7908.00,19.26,20.00,0.44,-0.0303,-0.0256,0
395.60,7912.00,19.53,20.00,0.24,-0.0321,-0.0349,0
395.80,7916.00,19.77,20.00,0.04,-0.0242,-0.0227,0
396.00,7920.00,19.97,20.00,-0.16,-0.0318,-0.0300,0
396.20,7924.00,20.14,20.00,-0.36,-0.0276,-0.0194,0
396.40,7928.00,20.27,20.00,-0.55,-0.0224,-0.0147,0
396.60,7932.00,20.36,20.00,-0.74,-0.0223,-0.0156,0
396.80,7936.00,20.41,20.00,-0.92,-0.0167,-0.0177,0
397.00,7940.00,20.42,20.00,-1.10,-0.0112,-0.0145,0
397.20,7944.00,20.40,20.00,-1.26,-0.0119,-0.0152,0
397.40,7948.00,20.33,20.00,-1.41,-0.0070,-0.0058,0
397.60,7952.00,20.24,20.00,-1.54,-0.0067,-0.0030,0
397.80,7956.00,20.11,20.00,-1.66,0.0005,0.0071,0
398.00,7960.00,19.95,20.00,-1.76,-0.0038,0.0065,0
398.20,7964.00,19.76,20.00,-1.85,0.0006,0.0108,0
398.40,7968.00,19.54,20.00,-1.92,0.0123,0.0010,0
398.60,7972.00,19.30,20.00,-1.96,0.0138,0.0180,0
398.80,7976.00,19.03,20.00,-1.99,0.0115,0.0225,0
399.00,7980.00,18.75,20.00,-2.00,0.0151,0.0203,0
399.20,7984.00,18.45,20.00,-1.99,0.0202,0.0251,0
399.40,7988.00,18.14,20.00,-1.96,0.0254,0.0183,0
399.60,7992.00,17.83,20.00,-1.91,0.0248,0.0227,0
399.80,7996.00,17.51,20.00,-1.84,0.0235,0.0241,0
400.00,8000.00,17.18,20.00,-1.75,0.0257,0.0373,0
400.20,8004.00,16.86,20.00,-1.64,0.0255,0.0308,0
400.40,8008.00,16.55,20.00,-1.52,0.0282,0.0394,0
400.60,8012.00,16.24,20.00,-1.38,0.0293,0.0455,0
400.80,8016.00,15.94,20.00,-1.23,0.0268,0.0379,0
